"Method","Name","# requests","# failures","Median response time","Average response time","Min response time","Max response time","Average Content Size","Requests/s"
"GET","/fablabs/5a71a18373e3bb000f4b6830/jobs?job=31f2afea-ac16-4b9f-a402-af2385d4c5e5",1,0,340,344,344,344,4701,0.02
"DELETE","/fablabs/5a71a18373e3bb000f4b6830/jobs?job=32dbefbe-06f8-4b8d-925c-045c1ba512cf",1,0,340,344,344,344,15,0.02
"GET","/fablabs/5a71a18373e3bb000f4b6830/jobs?job=32dbefbe-06f8-4b8d-925c-045c1ba512cf",1,0,210,212,212,212,4701,0.02
"DELETE","/fablabs/5a71a18373e3bb000f4b6830/jobs?job=33179df1-c884-40e6-9445-456ecfb83b3f",1,0,500,499,499,499,15,0.02
"GET","/fablabs/5a71a18373e3bb000f4b6830/jobs?job=33179df1-c884-40e6-9445-456ecfb83b3f",1,0,200,199,199,199,4701,0.02
"DELETE","/fablabs/5a71a18373e3bb000f4b6830/jobs?job=33231191-bfdd-44c1-88d3-9921989d5e0d",1,0,660,656,656,656,15,0.02
"GET","/fablabs/5a71a18373e3bb000f4b6830/jobs?job=33231191-bfdd-44c1-88d3-9921989d5e0d",1,0,380,385,385,385,4701,0.02
"DELETE","/fablabs/5a71a18373e3bb000f4b6830/jobs?job=335f633f-5ae7-4294-9dab-0f73afa13bd2",0,0,0,0,0,0,0,0.00
"GET","/fablabs/5a71a18373e3bb000f4b6830/jobs?job=335f633f-5ae7-4294-9dab-0f73afa13bd2",0,0,0,0,0,0,0,0.00
"DELETE","/fablabs/5a71a18373e3bb000f4b6830/jobs?job=33af84bb-bdd5-4c3c-b99b-7d98132cab76",0,0,0,0,0,0,0,0.00
"GET","/fablabs/5a71a18373e3bb000f4b6830/jobs?job=33af84bb-bdd5-4c3c-b99b-7d98132cab76",0,0,0,0,0,0,0,0.00
"DELETE","/fablabs/5a71a18373e3bb000f4b6830/jobs?job=33c8a271-69ba-498d-92fa-821d7a89ebac",1,0,320,317,317,317,15,0.02
"GET","/fablabs/5a71a18373e3bb000f4b6830/jobs?job=33c8a271-69ba-498d-92fa-821d7a89ebac",1,0,140,143,143,143,4701,0.02
"DELETE","/fablabs/5a71a18373e3bb000f4b6830/jobs?job=36018022-b107-4a35-a885-08bb0e2632d6",0,0,0,0,0,0,0,0.00
"GET","/fablabs/5a71a18373e3bb000f4b6830/jobs?job=36018022-b107-4a35-a885-08bb0e2632d6",0,0,0,0,0,0,0,0.00
"DELETE","/fablabs/5a71a18373e3bb000f4b6830/jobs?job=36bfc766-03a7-460a-8902-333f2722ab68",1,0,510,512,512,512,15,0.02
"GET","/fablabs/5a71a18373e3bb000f4b6830/jobs?job=36bfc766-03a7-460a-8902-333f2722ab68",1,0,210,209,209,209,4701,0.02
"DELETE","/fablabs/5a71a18373e3bb000f4b6830/jobs?job=36d08f52-d9db-453d-9e0e-06da4d33e4f1",0,0,0,0,0,0,0,0.00
"GET","/fablabs/5a71a18373e3bb000f4b6830/jobs?job=36d08f52-d9db-453d-9e0e-06da4d33e4f1",0,0,0,0,0,0,0,0.00
"DELETE","/fablabs/5a71a18373e3bb000f4b6830/jobs?job=38f00398-57ce-47c0-a395-279be0127433",1,0,880,877,877,877,15,0.02
"GET","/fablabs/5a71a18373e3bb000f4b6830/jobs?job=38f00398-57ce-47c0-a395-279be0127433",1,0,210,213,213,213,4701,0.02
"DELETE","/fablabs/5a71a18373e3bb000f4b6830/jobs?job=3b5dca02-2791-46db-8abd-6b038da0da02",1,0,750,751,751,751,15,0.02
"GET","/fablabs/5a71a18373e3bb000f4b6830/jobs?job=3b5dca02-2791-46db-8abd-6b038da0da02",1,0,190,188,188,188,4701,0.02
"DELETE","/fablabs/5a71a18373e3bb000f4b6830/jobs?job=3dd494ad-b6a1-4a67-8e65-dccc88ec15e8",1,0,380,378,378,378,15,0.02
"GET","/fablabs/5a71a18373e3bb000f4b6830/jobs?job=3dd494ad-b6a1-4a67-8e65-dccc88ec15e8",1,0,190,188,188,188,4701,0.02
"DELETE","/fablabs/5a71a18373e3bb000f4b6830/jobs?job=3de4edf8-ea5e-4782-bf0e-cd56ca6dce16",1,0,620,622,622,622,15,0.02
"GET","/fablabs/5a71a18373e3bb000f4b6830/jobs?job=3de4edf8-ea5e-4782-bf0e-cd56ca6dce16",1,0,260,257,257,257,4701,0.02
"DELETE","/fablabs/5a71a18373e3bb000f4b6830/jobs?job=3ebc12b5-b7d0-4003-bc14-8b60b97a1ee0",1,0,280,285,285,285,15,0.02
"GET","/fablabs/5a71a18373e3bb000f4b6830/jobs?job=3ebc12b5-b7d0-4003-bc14-8b60b97a1ee0",1,0,180,180,180,180,4701,0.02
"DELETE","/fablabs/5a71a18373e3bb000f4b6830/jobs?job=427ef943-bafd-4a89-839b-0743dff906b2",1,0,360,355,355,355,15,0.02
"GET","/fablabs/5a71a18373e3bb000f4b6830/jobs?job=427ef943-bafd-4a89-839b-0743dff906b2",1,0,150,146,146,146,4701,0.02
"DELETE","/fablabs/5a71a18373e3bb000f4b6830/jobs?job=435617fe-e925-49d0-9d24-0bd8122dc6d0",0,0,0,0,0,0,0,0.00
"GET","/fablabs/5a71a18373e3bb000f4b6830/jobs?job=435617fe-e925-49d0-9d24-0bd8122dc6d0",0,0,0,0,0,0,0,0.00
"DELETE","/fablabs/5a71a18373e3bb000f4b6830/jobs?job=4388d39a-93c6-4fe6-bec6-dd02a4883319",1,0,2600,2595,2595,2595,15,0.02
"GET","/fablabs/5a71a18373e3bb000f4b6830/jobs?job=4388d39a-93c6-4fe6-bec6-dd02a4883319",1,0,250,253,253,253,4701,0.02
"DELETE","/fablabs/5a71a18373e3bb000f4b6830/jobs?job=438cb9c7-7de2-4f76-98b0-959cb6270496",1,0,310,313,313,313,15,0.02
"GET","/fablabs/5a71a18373e3bb000f4b6830/jobs?job=438cb9c7-7de2-4f76-98b0-959cb6270496",1,0,140,141,141,141,4701,0.02
"DELETE","/fablabs/5a71a18373e3bb000f4b6830/jobs?job=43951e54-6bb7-4beb-99bc-cbcf325e17fd",1,0,880,875,875,875,15,0.02
"GET","/fablabs/5a71a18373e3bb000f4b6830/jobs?job=43951e54-6bb7-4beb-99bc-cbcf325e17fd",1,0,420,416,416,416,4701,0.02
"DELETE","/fablabs/5a71a18373e3bb000f4b6830/jobs?job=43ccac39-d68e-4f9e-bf38-bf0956eccfee",1,0,550,548,548,548,15,0.02
"GET","/fablabs/5a71a18373e3bb000f4b6830/jobs?job=43ccac39-d68e-4f9e-bf38-bf0956eccfee",1,0,260,263,263,263,4701,0.02
"DELETE","/fablabs/5a71a18373e3bb000f4b6830/jobs?job=44a6285f-be99-4e09-8964-603cc9ac0a8f",1,0,2400,2375,2375,2375,15,0.02
"GET","/fablabs/5a71a18373e3bb000f4b6830/jobs?job=44a6285f-be99-4e09-8964-603cc9ac0a8f",1,0,330,330,330,330,4701,0.02
"DELETE","/fablabs/5a71a18373e3bb000f4b6830/jobs?job=44f6a1ff-214d-4844-8980-6f9624c9b583",0,0,0,0,0,0,0,0.00
"GET","/fablabs/5a71a18373e3bb000f4b6830/jobs?job=44f6a1ff-214d-4844-8980-6f9624c9b583",0,0,0,0,0,0,0,0.00
"DELETE","/fablabs/5a71a18373e3bb000f4b6830/jobs?job=47b91d37-b5af-4cc0-be55-713d56bfb7f0",1,0,580,577,577,577,15,0.02
"GET","/fablabs/5a71a18373e3bb000f4b6830/jobs?job=47b91d37-b5af-4cc0-be55-713d56bfb7f0",1,0,140,138,138,138,4701,0.02
"DELETE","/fablabs/5a71a18373e3bb000f4b6830/jobs?job=4a42d0f0-d73e-4270-b237-8fbfe40857fe",1,0,830,830,830,830,15,0.02
"GET","/fablabs/5a71a18373e3bb000f4b6830/jobs?job=4a42d0f0-d73e-4270-b237-8fbfe40857fe",1,0,140,140,140,140,4701,0.02
"DELETE","/fablabs/5a71a18373e3bb000f4b6830/jobs?job=4ad1e559-659a-4774-9798-faec69f6b2fb",1,0,660,663,663,663,15,0.02
"GET","/fablabs/5a71a18373e3bb000f4b6830/jobs?job=4ad1e559-659a-4774-9798-faec69f6b2fb",1,0,260,263,263,263,4701,0.02
"DELETE","/fablabs/5a71a18373e3bb000f4b6830/jobs?job=4b4a01d9-85b1-457a-8a5b-cdaefeb653ef",1,0,310,311,311,311,15,0.02
"GET","/fablabs/5a71a18373e3bb000f4b6830/jobs?job=4b4a01d9-85b1-457a-8a5b-cdaefeb653ef",1,0,180,185,185,185,4701,0.02
"DELETE","/fablabs/5a71a18373e3bb000f4b6830/jobs?job=4c0aa161-cd82-4dd3-a67e-77b0b9ef9064",1,0,910,908,908,908,15,0.02
"GET","/fablabs/5a71a18373e3bb000f4b6830/jobs?job=4c0aa161-cd82-4dd3-a67e-77b0b9ef9064",1,0,320,325,325,325,4701,0.02
"DELETE","/fablabs/5a71a18373e3bb000f4b6830/jobs?job=4cde9000-df75-4009-9725-fd67f129049b",0,0,0,0,0,0,0,0.00
"GET","/fablabs/5a71a18373e3bb000f4b6830/jobs?job=4cde9000-df75-4009-9725-fd67f129049b",0,0,0,0,0,0,0,0.00
"DELETE","/fablabs/5a71a18373e3bb000f4b6830/jobs?job=500098b4-e1e3-4dc5-804b-14343a80774b",0,0,0,0,0,0,0,0.00
